PositionX,PositionY,is North legal,is East legal,is South legal,is West legal,is Stop legal,Direction
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
12,10,1,1,1,1,1,Stop
,,,,,,,
12,10,1,1,1,1,1,Stop
12,9,1,1,1,1,1,South
12,9,1,1,1,1,1,South
12,9,1,1,1,1,1,South
12,9,1,1,1,1,1,South
12,9,1,1,1,1,1,South
11,9,1,1,1,1,1,West
11,9,1,1,1,1,1,West
11,9,1,1,1,1,1,West
11,9,1,1,1,1,1,West
11,9,1,1,1,1,1,West
10,9,1,1,1,1,1,West
10,9,1,1,1,1,1,West
10,9,1,1,1,1,1,West
10,9,1,1,1,1,1,West
10,9,1,1,1,1,1,West
9,9,1,1,1,1,1,West
9,9,1,1,1,1,1,West
9,9,1,1,1,1,1,West
9,9,1,1,1,1,1,West
9,9,1,1,1,1,1,West
9,8,1,1,1,1,1,South
9,8,1,1,1,1,1,South
9,8,1,1,1,1,1,South
9,8,1,1,1,1,1,South
9,8,1,1,1,1,1,South
8,8,1,1,1,1,1,West
8,8,1,1,1,1,1,West
8,8,1,1,1,1,1,West
8,8,1,1,1,1,1,West
8,8,1,1,1,1,1,West
7,8,1,1,1,1,1,West
7,8,1,1,1,1,1,West
7,8,1,1,1,1,1,West
7,8,1,1,1,1,1,West
7,8,1,1,1,1,1,West
6,8,1,1,1,1,1,West
6,8,1,1,1,1,1,West
6,8,1,1,1,1,1,West
6,8,1,1,1,1,1,West
6,8,1,1,1,1,1,West
5,8,1,1,1,1,1,West
5,8,1,1,1,1,1,West
5,8,1,1,1,1,1,West
5,8,1,1,1,1,1,West
5,8,1,1,1,1,1,West
5,7,1,1,1,1,1,South
5,7,1,1,1,1,1,South
5,7,1,1,1,1,1,South
5,7,1,1,1,1,1,South
5,7,1,1,1,1,1,South
5,6,1,1,1,1,1,South
5,6,1,1,1,1,1,South
5,6,1,1,1,1,1,South
5,6,1,1,1,1,1,South
5,6,1,1,1,1,1,South
4,6,1,1,1,1,1,West
4,6,1,1,1,1,1,West
4,6,1,1,1,1,1,West
4,6,1,1,1,1,1,West
4,6,1,1,1,1,1,West
3,6,1,1,1,1,1,West
3,6,1,1,1,1,1,West
3,6,1,1,1,1,1,West
3,6,1,1,1,1,1,West
3,6,1,1,1,1,1,West
2,6,1,1,1,1,1,West
2,6,1,1,1,1,1,West
2,6,1,1,1,1,1,West
2,6,1,1,1,1,1,West
2,6,1,1,1,1,1,West
1,6,1,1,1,0,1,West
1,6,1,1,1,0,1,West
1,6,1,1,1,0,1,West
1,6,1,1,1,0,1,West
1,6,1,1,1,0,1,West
1,5,1,1,1,0,1,South
1,5,1,1,1,0,1,South
1,5,1,1,1,0,1,South
1,5,1,1,1,0,1,South
1,5,1,1,1,0,1,South
1,4,1,1,1,0,1,South
1,4,1,1,1,0,1,South
1,4,1,1,1,0,1,South
1,4,1,1,1,0,1,South
1,4,1,1,1,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
1,3,1,1,0,0,1,South
